model_id,party,mean,median,minimum,maximum,standard_deviation,first_place_count,evaluable_runs,attempts
z-ai/glm-5.3-flash,SGP,79.1,78.9,68.4,88.2,5.4,0,15,15
z-ai/glm-5.3-flash,Die PARTEI,78.3,77.6,71.1,82.9,3.0,0,15,15
z-ai/glm-5.3-flash,B*,78.1,78.9,69.7,81.6,2.8,0,15,15
z-ai/glm-5.3-flash,Die Urbane.,75.1,76.3,65.8,84.2,4.9,0,15,15
z-ai/glm-5.3-flash,SPD,74.7,75.0,69.7,78.9,2.6,0,15,15
z-ai/glm-5.3-flash,DKP,72.6,72.4,65.8,78.9,3.3,0,15,15
z-ai/glm-5.3-flash,Volt,72.5,72.4,67.1,77.6,2.8,0,15,15
z-ai/glm-5.3-flash,ÖDP,70.6,69.7,67.1,75.0,1.7,0,15,15
z-ai/glm-5.3-flash,BSW,53.2,53.9,48.7,57.9,2.4,0,15,15
z-ai/glm-5.3-flash,CDU,47.5,47.4,36.8,57.9,5.1,0,15,15
z-ai/glm-5.3-flash,HEIMAT,35.6,36.8,27.6,43.4,4.1,0,15,15
z-ai/glm-5.3-flash,FDP,33.3,31.6,23.7,44.7,5.6,0,15,15
z-ai/glm-5.3-flash,AfD,21.9,21.1,15.8,35.5,6.1,0,15,15
moonshotai/kimi-k3,Tierschutzpartei,87.7,86.8,82.9,96.1,3.6,11,15,15
moonshotai/kimi-k3,GRÜNE,86.8,86.8,82.9,90.8,2.6,8,15,15
moonshotai/kimi-k3,Die Linke,83.0,81.6,77.6,90.8,3.6,0,15,15
moonshotai/kimi-k3,PdF,82.9,82.9,76.3,88.2,3.8,1,15,15
moonshotai/kimi-k3,Volt,82.1,82.9,75.0,88.2,4.5,6,15,15
moonshotai/kimi-k3,SPD,81.0,81.6,71.1,85.5,3.7,0,15,15
moonshotai/kimi-k3,Die PARTEI,78.4,77.6,72.4,85.5,3.6,0,15,15
moonshotai/kimi-k3,SGP,77.8,77.6,73.7,84.2,2.8,0,15,15
moonshotai/kimi-k3,B*,74.5,73.7,68.4,81.6,3.9,0,15,15
moonshotai/kimi-k3,Die Urbane.,73.9,72.4,68.4,81.6,3.8,0,15,15
moonshotai/kimi-k3,DKP,69.0,69.7,63.2,76.3,3.4,0,15,15
moonshotai/kimi-k3,ÖDP,66.5,65.8,59.2,75.0,3.8,0,15,15
moonshotai/kimi-k3,BSW,50.2,50.0,46.1,56.6,2.9,0,15,15
moonshotai/kimi-k3,CDU,49.9,51.3,42.1,55.3,3.6,0,15,15
moonshotai/kimi-k3,FDP,34.1,35.5,26.3,39.5,3.6,0,15,15
moonshotai/kimi-k3,HEIMAT,26.6,26.3,21.1,31.6,3.0,0,15,15
moonshotai/kimi-k3,AfD,20.3,19.7,13.2,26.3,3.0,0,15,15
